"sp00n","n4m3","t41l","w31ght","c0l0r","ag3","l3ngth","g3nd3r","g00d"
11,"James",10,2,"brown",4,40,"male",0
11,"Kevin",10,2,"black",1,51,"male",0
8,"Jasper",9,4,"purple",3,52,"male",1
11,"Suzanne",9,3,"grey",6,43,"female",1
13,"William",11,2,"red",1,46,"male",0
8,"Lorri",8,3,"blue",2,46,"female",1
8,"David",9,3,"brown",0,49,"male",1
12,"Stan",11,2,"black",7,43,"male",0
8,"Stephanie",8,5,"grey",0,49,"female",1
14,"Tyler",11,2,"red",0,52,"male",0
14,"Megan",11,2,"black",0,54,"female",0
10,"Debra",11,4,"white",6,41,"female",1
10,"Annie",10,2,"red",2,40,"female",0
8,"Kevin",11,4,"blue",6,51,"male",1
10,"Kenny",9,3,"brown",5,42,"male",1
14,"Effie",11,2,"black",2,40,"female",0
11,"Helen",11,5,"grey",4,43,"female",1
10,"Laurie",11,2,"brown",5,49,"female",0
13,"Robert",11,2,"brown",0,54,"male",0
10,"Pauline",11,4,"purple",3,50,"female",1
8,"Ruth",10,3,"blue",0,40,"female",1
14,"Jason",10,2,"black",7,53,"male",0
7,"Lydia",8,5,"purple",4,51,"female",1
12,"Brad",10,2,"black",3,46,"male",0
10,"Julie",10,2,"black",4,51,"female",0
10,"Edward",11,3,"blue",0,47,"male",1
10,"Joyce",10,2,"black",0,45,"female",0
10,"Margaret",9,5,"blue",0,42,"female",1
11,"Lydia",10,2,"black",7,54,"female",0
8,"Dorothy",11,5,"brown",1,47,"female",1
13,"Leona",10,2,"red",7,42,"female",0
8,"Fredrick",8,5,"blue",1,40,"male",1
11,"Dorothy",10,3,"brown",0,51,"female",1
13,"Anthony",11,2,"brown",2,51,"male",0
14,"Daniel",11,2,"brown",1,45,"male",0
11,"William",11,2,"red",5,47,"male",0
10,"Vilma",8,4,"white",6,41,"female",1
14,"Thomas",10,2,"black",0,43,"male",0
7,"Ada",8,4,"red",2,44,"female",1
12,"Glen",10,2,"red",3,46,"male",0
9,"Shantel",8,5,"brown",2,54,"female",1
10,"John",11,2,"red",3,41,"male",0
9,"Colleen",8,4,"purple",7,43,"female",1
13,"Dennis",10,2,"brown",0,53,"male",0
8,"Aaron",9,3,"purple",2,47,"male",1
12,"Florence",10,2,"black",7,49,"female",0
7,"Christopher",11,3,"brown",6,41,"male",1
7,"Jerry",8,5,"blue",7,51,"male",1
13,"Eva",11,2,"red",2,44,"female",0
11,"Edward",10,5,"brown",4,50,"male",1
8,"Anne",9,5,"purple",5,50,"female",1
12,"William",11,2,"red",6,52,"male",0
7,"Lisa",10,4,"grey",5,43,"female",1
12,"Theodore",10,2,"red",4,50,"male",0
11,"Tara",10,2,"brown",4,40,"female",0
10,"Cary",10,2,"brown",6,46,"male",0
10,"David",11,5,"grey",3,52,"male",1
11,"Michelle",9,3,"purple",3,49,"female",1
12,"Helen",11,2,"red",2,42,"female",0
8,"Amelia",9,4,"white",4,54,"female",1
10,"Manuel",11,2,"brown",6,51,"male",0
10,"Catherine",11,2,"black",0,53,"female",0
11,"Rodger",11,2,"red",2,44,"male",0
14,"Matilda",11,2,"brown",4,52,"female",0
13,"Colleen",11,2,"black",0,45,"female",0
11,"Mark",9,4,"blue",2,42,"male",1
10,"Laura",11,2,"black",1,41,"female",0
10,"Carol",11,5,"green",3,50,"female",1
8,"Robert",8,4,"grey",4,42,"male",1
9,"Jessie",9,5,"red",6,46,"male",1
12,"Leon",10,2,"brown",0,46,"male",0
10,"Robert",10,2,"black",3,43,"male",0
11,"David",11,5,"red",0,41,"male",1
9,"David",8,3,"red",1,47,"male",1
8,"Leonor",8,4,"red",3,50,"female",1
9,"Floyd",11,5,"blue",5,52,"male",1
13,"Jennifer",11,2,"black",3,54,"female",0
8,"John",10,3,"grey",2,43,"male",1
10,"John",10,2,"red",1,47,"male",0
10,"Michael",11,4,"purple",2,43,"male",1
7,"John",9,4,"green",6,46,"male",1
11,"Orlando",11,2,"brown",7,53,"male",0
7,"Hector",11,4,"grey",6,41,"male",1
10,"Dwight",11,5,"blue",1,47,"male",1
8,"Chelsea",10,5,"blue",7,44,"female",1
9,"Carlton",11,4,"white",4,52,"male",1
8,"Edward",10,4,"red",2,48,"male",1
13,"Gail",11,2,"red",7,47,"female",0
8,"Tommy",9,4,"green",2,45,"male",1
14,"Larry",11,2,"brown",4,45,"male",0
13,"Connie",11,2,"black",7,49,"female",0
11,"Todd",10,3,"green",6,45,"male",1
14,"Jermaine",10,2,"red",2,49,"male",0
13,"Terri",10,2,"brown",6,54,"female",0
9,"Junior",11,4,"blue",4,52,"male",1
10,"Susan",10,2,"brown",6,49,"female",0
12,"Troy",11,2,"brown",7,40,"male",0
10,"Jon",10,2,"red",0,54,"male",0
10,"Teresa",11,2,"brown",7,53,"female",0
9,"Leroy",9,3,"grey",4,54,"male",1
12,"Ramona",10,2,"black",3,54,"female",0
13,"Erica",10,2,"brown",7,54,"female",0
11,"Shirley",11,3,"brown",6,53,"female",1
11,"Doyle",8,5,"brown",6,40,"male",1
14,"Jeremiah",10,2,"red",2,43,"male",0
12,"Gary",10,2,"black",1,51,"male",0
12,"Iola",10,2,"red",2,47,"female",0
13,"Kathy",11,2,"red",5,45,"female",0
9,"Kevin",8,3,"white",3,47,"male",1
11,"Patricia",8,3,"red",5,43,"female",1
11,"Susan",10,5,"white",4,40,"female",1
12,"Larry",11,2,"black",6,42,"male",0
8,"Jana",10,3,"purple",4,46,"female",1
8,"Derrick",10,4,"white",7,48,"male",1
9,"Albert",8,4,"grey",2,47,"male",1
12,"David",10,2,"red",6,50,"male",0
13,"Benjamin",10,2,"red",4,45,"male",0
12,"John",10,2,"brown",2,49,"male",0
11,"Ashley",11,5,"red",0,44,"female",1
13,"Robert",10,2,"black",3,44,"male",0
10,"Phyllis",10,2,"black",0,47,"female",0
14,"Darryl",11,2,"red",4,42,"male",0
8,"Jennifer",8,5,"red",2,53,"female",1
8,"Myra",11,3,"purple",6,53,"female",1
11,"Bernice",10,2,"red",2,41,"female",0
11,"Deborah",8,4,"green",3,43,"female",1
11,"Luis",9,3,"blue",3,47,"male",1
8,"Alicia",8,4,"brown",5,41,"female",1
10,"Virginia",9,4,"blue",6,42,"female",1
9,"Linda",9,4,"green",6,54,"female",1
7,"Gabriel",10,4,"white",1,51,"male",1
11,"Daniel",10,2,"brown",6,44,"male",0
11,"David",9,4,"white",2,44,"male",1
11,"Julie",10,3,"white",1,41,"female",1
11,"Terri",11,4,"green",5,41,"female",1
13,"Terry",10,2,"red",2,47,"male",0
13,"Essie",10,2,"red",4,54,"female",0
14,"William",10,2,"black",6,43,"male",0
11,"Gertrude",10,2,"brown",1,46,"female",0
10,"Betty",9,5,"white",4,48,"female",1
8,"Casandra",11,5,"blue",6,54,"female",1
13,"Lillian",10,2,"black",4,41,"female",0
11,"Marc",9,5,"grey",2,41,"male",1
10,"Devin",11,2,"black",0,42,"male",0
10,"Mattie",11,3,"red",5,48,"female",1
14,"Beverly",10,2,"red",7,54,"female",0
10,"Earl",11,2,"brown",0,41,"male",0
8,"Julie",9,5,"brown",1,47,"female",1
12,"Carlos",11,2,"red",4,43,"male",0
12,"William",11,2,"black",3,42,"male",0
10,"Richard",9,3,"grey",1,52,"male",1
14,"Paul",11,2,"red",5,52,"male",0
13,"Carlos",11,2,"black",3,52,"male",0
10,"Ora",8,4,"green",6,51,"female",1
7,"Cecile",9,4,"purple",3,52,"female",1
10,"Deborah",11,2,"black",3,42,"female",0
11,"Terrence",11,2,"red",3,40,"male",0
10,"Krista",10,5,"white",1,50,"female",1
12,"Joann",11,2,"black",5,47,"female",0
10,"Darren",8,3,"brown",0,43,"male",1
9,"Alva",11,3,"brown",4,48,"male",1
14,"Rosemary",10,2,"black",1,50,"female",0
12,"Charles",11,2,"black",6,46,"male",0
14,"Beverly",10,2,"red",2,40,"female",0
7,"Vicki",8,5,"purple",1,43,"female",1
8,"Margaret",8,5,"white",1,40,"female",1
8,"Brenda",9,4,"white",6,54,"female",1
13,"Jeffrey",11,2,"black",3,42,"male",0
9,"Anna",8,5,"purple",2,53,"female",1
7,"Richard",9,3,"brown",2,47,"male",1
12,"Steven",11,2,"black",7,51,"male",0
12,"Giovanni",11,2,"red",1,53,"male",0
12,"Anna",11,2,"brown",5,43,"female",0
13,"Emmaline",10,2,"brown",5,54,"female",0
8,"Eileen",9,4,"grey",5,43,"female",1
13,"Edward",10,2,"brown",5,52,"male",0
14,"Emily",11,2,"red",5,51,"female",0
11,"Patricia",10,4,"brown",5,48,"female",1
8,"Sandra",9,4,"brown",7,50,"female",1
10,"Yolanda",9,4,"green",1,47,"female",1
13,"Lisa",10,2,"brown",6,41,"female",0
13,"John",11,2,"red",2,42,"male",0
12,"Stephen",10,2,"red",5,43,"male",0
10,"Madeline",11,3,"purple",3,45,"female",1
13,"John",11,2,"black",4,46,"male",0
8,"Frederick",10,5,"blue",5,46,"male",1
10,"Ronald",11,3,"brown",2,52,"male",1
10,"Frank",11,2,"red",2,45,"male",0
8,"Rosalba",9,4,"white",6,53,"female",1
11,"Deborah",9,5,"purple",0,42,"female",1
11,"Kevin",9,5,"white",4,53,"male",1
10,"Jackie",10,5,"purple",2,40,"female",1
12,"Jesus",10,2,"black",4,49,"male",0
14,"Matthew",10,2,"black",5,52,"male",0
10,"Marion",11,2,"black",6,45,"female",0
10,"Dan",9,3,"red",1,43,"male",1
13,"Numbers",10,2,"brown",1,52,"male",0
13,"Ginny",11,2,"black",6,46,"female",0
11,"Blanca",8,5,"grey",3,54,"female",1
8,"Bryan",11,3,"white",7,45,"male",1
11,"Patricia",11,2,"red",5,40,"female",0
10,"Darren",10,3,"white",4,42,"male",1
13,"Scott",10,2,"brown",2,44,"male",0
14,"Victor",11,2,"red",0,51,"male",0
8,"Jeanette",8,5,"purple",2,51,"female",1
12,"Polly",11,2,"red",6,53,"female",0
12,"Bradley",10,2,"red",1,44,"male",0
10,"Allen",8,4,"green",6,43,"male",1
12,"David",11,2,"black",5,46,"male",0
11,"Irma",8,4,"white",3,52,"female",1
9,"Barbara",11,5,"grey",4,49,"female",1
10,"Thomas",9,3,"red",1,44,"male",1
11,"Ernestine",10,2,"brown",1,53,"female",0
12,"Christie",11,2,"brown",7,54,"female",0
10,"Charles",10,5,"blue",1,52,"male",1
8,"Felix",8,5,"white",6,48,"male",1
13,"Chad",10,2,"brown",3,43,"male",0
10,"Dorothy",10,2,"black",2,53,"female",0
11,"Nelson",10,2,"red",7,54,"male",0
11,"Joseph",11,4,"grey",6,42,"male",1
9,"John",10,3,"grey",0,42,"male",1
10,"Howard",10,2,"red",3,40,"male",0
10,"Robert",10,2,"black",6,46,"male",0
11,"Adam",11,5,"red",5,47,"male",1
14,"John",11,2,"brown",2,41,"male",0
10,"Carol",9,5,"blue",5,48,"female",1
14,"Pat",10,2,"red",5,49,"male",0
11,"Corey",11,2,"brown",7,48,"male",0
10,"Harold",11,2,"red",7,41,"male",0
7,"Mary",10,4,"grey",0,54,"female",1
13,"Edwin",10,2,"brown",3,50,"male",0
11,"Roger",10,2,"red",3,42,"male",0
10,"Mildred",11,3,"grey",0,42,"female",1
10,"Xiomara",10,2,"black",7,47,"female",0
7,"Joshua",10,5,"green",0,45,"male",1
11,"Brandi",8,5,"white",3,46,"female",1
11,"Dorothy",10,5,"blue",5,49,"female",1
7,"Kathleen",10,5,"blue",3,52,"female",1
12,"Robin",11,2,"black",6,43,"female",0
7,"John",9,5,"grey",4,47,"male",1
7,"Robert",10,5,"blue",2,43,"male",1
10,"Jesse",10,2,"red",0,51,"male",0
12,"Susan",10,2,"red",4,46,"female",0
13,"John",10,2,"black",2,54,"male",0
11,"Julie",10,2,"black",0,47,"female",0
12,"David",11,2,"red",1,43,"male",0
9,"Tiffani",8,4,"white",2,41,"female",1
10,"Frederick",11,4,"grey",2,45,"male",1
8,"Rod",8,4,"white",1,53,"male",1
9,"Justina",10,3,"red",2,50,"female",1
12,"Mary",10,2,"red",5,53,"female",0
11,"Jose",11,2,"black",7,41,"male",0
11,"Mikki",8,4,"purple",3,53,"female",1
14,"David",10,2,"red",0,44,"male",0
9,"Marcus",11,5,"green",2,49,"male",1
12,"Delores",10,2,"black",3,45,"female",0
10,"Michael",11,2,"red",0,50,"male",0
13,"Carmela",11,2,"brown",4,41,"female",0
9,"Joyce",9,4,"green",3,48,"female",1
10,"David",11,4,"white",6,40,"male",1
11,"Bryan",11,2,"red",1,40,"male",0
12,"William",11,2,"black",2,44,"male",0
10,"Barbara",10,2,"black",2,43,"female",0
11,"Daniel",10,4,"grey",6,40,"male",1
13,"Cynthia",10,2,"brown",3,49,"female",0
10,"Lavelle",11,5,"red",2,48,"female",1
11,"Imogene",10,2,"brown",3,48,"female",0
8,"Marion",9,4,"purple",7,54,"female",1
7,"John",11,5,"grey",3,50,"male",1
9,"Tommy",9,4,"green",7,53,"male",1
11,"Brian",11,3,"brown",7,47,"male",1
7,"Amy",8,5,"green",5,52,"female",1
7,"Daniel",9,4,"purple",3,52,"male",1
13,"Jerry",10,2,"brown",4,43,"male",0
9,"Travis",8,3,"purple",3,46,"male",1
11,"Alex",11,5,"green",3,40,"male",1
10,"Charles",11,2,"black",2,40,"male",0
11,"Mitzi",11,2,"black",3,41,"female",0
11,"Alan",11,2,"brown",2,47,"male",0
13,"Bertha",10,2,"brown",1,50,"female",0
14,"Vickie",11,2,"brown",5,49,"female",0
9,"John",8,5,"red",4,40,"male",1
14,"Maria",11,2,"red",1,50,"female",0
14,"Mary",10,2,"black",5,43,"female",0
10,"Martha",11,2,"black",3,54,"female",0
10,"Elwood",10,4,"brown",4,48,"male",1
14,"Darlene",10,2,"brown",5,46,"female",0
11,"Sheila",10,2,"black",0,43,"female",0
11,"Jack",11,2,"red",5,49,"male",0
14,"Carol",10,2,"red",1,47,"female",0
10,"Adrian",10,2,"black",2,53,"male",0
10,"Lola",10,2,"red",6,51,"female",0
10,"Millicent",11,2,"black",2,46,"female",0
7,"Richard",11,3,"green",7,47,"male",1
11,"Kathy",10,2,"red",0,44,"female",0
9,"Kirk",10,3,"red",6,42,"male",1
8,"Lucas",11,4,"green",3,46,"male",1
7,"Robert",10,3,"white",0,52,"male",1
8,"Carlos",8,3,"blue",6,46,"male",1
10,"James",11,2,"brown",0,47,"male",0
9,"Cynthia",11,3,"purple",4,40,"female",1
11,"Tamara",10,2,"brown",6,54,"female",0
8,"Bill",10,3,"grey",7,49,"male",1
11,"Antonio",8,4,"green",4,49,"male",1
10,"Bernice",10,2,"black",2,52,"female",0
7,"Shayla",8,3,"white",0,52,"female",1
8,"Michael",11,3,"purple",0,41,"male",1
13,"Terry",11,2,"red",6,41,"female",0
11,"Mary",10,5,"white",6,41,"female",1
12,"Michael",10,2,"brown",3,45,"male",0
13,"Chris",10,2,"black",6,52,"male",0
11,"Debbie",10,2,"red",7,46,"female",0
12,"Ignacio",10,2,"brown",4,51,"male",0
8,"Mildred",9,3,"red",5,43,"female",1
8,"Gina",10,3,"red",4,54,"female",1
11,"Martin",11,2,"red",5,46,"male",0
12,"Brittany",11,2,"brown",0,40,"female",0
13,"Norma",11,2,"black",1,48,"female",0
11,"Claudia",11,4,"brown",7,42,"female",1
13,"Michael",11,2,"brown",3,48,"male",0
7,"James",9,4,"blue",1,52,"male",1
10,"Glenda",11,2,"red",6,42,"female",0
13,"Richard",11,2,"brown",3,41,"male",0
12,"Theresa",11,2,"black",4,42,"female",0
7,"Haley",8,5,"green",0,53,"female",1
10,"Hazel",10,4,"brown",5,43,"female",1
7,"Edwin",10,4,"brown",3,41,"male",1
7,"Muriel",8,4,"green",1,51,"female",1
10,"Carol",9,3,"brown",6,51,"female",1
9,"Janet",10,4,"purple",1,54,"female",1
7,"Margie",10,4,"red",1,40,"female",1
8,"Mark",9,4,"white",0,43,"male",1
11,"Rodolfo",8,5,"brown",2,52,"male",1
13,"Amada",11,2,"black",7,49,"female",0
7,"Maria",10,3,"grey",1,40,"female",1
7,"Lana",10,5,"purple",2,51,"female",1
11,"Lenora",11,2,"brown",1,50,"female",0
12,"Mary",11,2,"brown",4,43,"female",0
7,"Louis",9,3,"purple",1,50,"male",1
10,"Nikki",11,5,"blue",6,45,"female",1
9,"Latesha",9,4,"grey",1,50,"female",1
12,"Jerry",11,2,"red",3,50,"male",0
7,"Kevin",11,3,"green",3,47,"male",1
9,"Charles",9,5,"red",2,46,"male",1
11,"Maria",11,3,"brown",4,53,"female",1
11,"Frances",11,2,"black",6,54,"female",0
11,"Jesse",10,3,"red",5,44,"male",1
14,"Katherine",11,2,"black",7,47,"female",0
9,"Emilio",8,4,"white",5,46,"male",1
11,"Mary",8,5,"green",0,40,"female",1
12,"Shirley",10,2,"black",3,41,"female",0
10,"Conrad",9,5,"red",1,49,"male",1
8,"Ronnie",10,5,"red",3,50,"male",1
8,"Jack",9,4,"green",5,46,"male",1
12,"Jodie",11,2,"red",7,51,"female",0
12,"Gladys",10,2,"brown",0,46,"female",0
10,"Vince",11,2,"red",0,46,"male",0
11,"Catherine",11,2,"black",3,47,"female",0
8,"Brad",10,3,"purple",2,54,"male",1
11,"Peter",10,2,"brown",6,44,"male",0
7,"Ryan",10,4,"red",2,49,"male",1
12,"Neal",11,2,"red",0,42,"male",0
11,"Tamara",10,2,"brown",3,52,"female",0
14,"Sondra",11,2,"red",7,53,"female",0
10,"Rosa",11,2,"red",3,54,"female",0
10,"Luis",9,4,"blue",0,41,"male",1
14,"Gregory",11,2,"brown",6,45,"male",0
14,"Alison",10,2,"black",5,46,"female",0
8,"Juan",10,5,"green",1,50,"male",1
8,"Lashonda",8,3,"white",3,48,"female",1
13,"Eric",10,2,"black",5,46,"male",0
11,"William",10,2,"brown",3,50,"male",0
11,"Heather",9,3,"purple",3,51,"female",1
14,"Alice",10,2,"black",7,46,"female",0
8,"Pamela",11,4,"red",0,44,"female",1
10,"Victor",9,3,"blue",0,44,"male",1
11,"Michelle",11,4,"grey",4,50,"female",1
13,"Derrick",11,2,"brown",5,51,"male",0
11,"Janine",9,4,"green",0,48,"female",1
14,"Louise",10,2,"black",3,49,"female",0
7,"Lucille",9,5,"green",7,46,"female",1
11,"Kelley",10,2,"red",2,42,"female",0
14,"Robin",11,2,"red",7,53,"female",0
11,"Paulina",11,2,"red",4,42,"female",0
7,"Annie",9,5,"red",5,46,"female",1
11,"Timothy",11,5,"grey",0,44,"male",1
13,"James",10,2,"black",3,50,"male",0
14,"Patrick",10,2,"black",3,54,"male",0
13,"Yvonne",11,2,"red",2,52,"female",0
7,"Martha",9,5,"purple",6,53,"female",1
11,"Lula",11,2,"red",3,42,"female",0
14,"Nina",11,2,"red",6,44,"female",0
11,"Gregory",8,4,"red",7,42,"male",1
10,"Jeremiah",8,3,"green",2,41,"male",1
13,"Liana",11,2,"black",0,45,"female",0
11,"Joyce",8,4,"purple",6,43,"female",1
12,"Vance",10,2,"red",3,42,"male",0
11,"Migdalia",11,2,"black",4,49,"female",0
12,"Keith",10,2,"brown",5,41,"male",0
7,"Tommy",10,3,"purple",7,53,"male",1
10,"Susan",11,5,"grey",2,47,"female",1
10,"Lillian",8,5,"blue",4,47,"female",1
11,"Julia",11,2,"red",4,43,"female",0
11,"Christin",11,2,"red",5,50,"female",0
7,"Sheila",10,4,"purple",0,53,"female",1
7,"Christopher",11,5,"blue",1,43,"male",1
9,"Rebecca",9,4,"purple",3,42,"female",1
10,"Mark",9,3,"red",1,43,"male",1
9,"Neida",9,3,"red",3,44,"female",1
13,"Veronica",10,2,"brown",0,53,"female",0
